description,name,status,resource,sponsor,startdate,enddate,githuburl,svnurl,languages,main_language,cloc_language,comments,resolution/_tlp,mentors/mentor/0/_username,mentors/mentor/0/__text,mentors/mentor/1/_username,mentors/mentor/1/__text,mentors/mentor/2/_username,mentors/mentor/2/__text,reporting/_group,champion/_availid,champion/__text,mentors/mentor/3/_username,mentors/mentor/3/__text,resolution/_link,resolution/_url,resolution/__text,_resourceAliases,resolution,mentors/mentor/4/_username,mentors/mentor/4/__text,mentors/mentor/5/_username,mentors/mentor/5/__text,mentors/mentor/6/_username,mentors/mentor/6/__text,mentors/mentor/7/_username,mentors/mentor/7/__text,mentors/mentor/8/_username,mentors/mentor/8/__text,mentors/mentor/9/_username,mentors/mentor/9/__text,reporting/__text,graduating,changes/change/_resource,changes/change/_enddate,changes/change/__text,__text,reporting/_monthly,_longname
"A grid middleware framework for science data processing, information integration, and retrieval.",OODT,graduated,oodt,Incubator,2010-01-21,2010-11-17,https://github.com/apache/OODT,,"{""Java"": 6245396, ""Python"": 131012, ""HTML"": 126331, ""Shell"": 115092, ""CSS"": 111716, ""Roff"": 100067, ""JavaScript"": 80749, ""PHP"": 45366, ""XSLT"": 28584, ""C++"": 22622, ""Perl"": 4459, ""PLSQL"": 3736, ""Makefile"": 1135, ""Scala"": 1015}",Java,Java,,true,jerenkrantz,Justin Erenkrantz,rgardler,Ross Gardler,ianh,Ian Holsman,,,,jfclere,Jean-Frederic Clere,,,,,,mattmann,Chris Mattmann,,,,,,,,,,,,,,,,,,
Server-based workflow scheduling and coordination system to manage data processing jobs for Apache Hadoop,Oozie,graduated,oozie,Incubator,2011-07-11,2012-08-28,https://github.com/apache/Oozie,,"{""Java"": 11602174, ""JavaScript"": 143424, ""Shell"": 123310, ""CSS"": 27303, ""HTML"": 11359, ""Python"": 5717}",Java,Java,,true,gates,Alan Gates,cdouglas,Chris Douglas,ddas,Devaraj Das,,,,omalley,Owen O'Malley,,,,,,,,,,,,,,,,,,,,,,,,,
"A tool for scalable comparison of remote sensing observations to climate model outputs, regionally and globally.",Open Climate Workbench,graduated,climate,Incubator,2013-02-15,2014-02-19,https://github.com/apache/climate,,"{""Jupyter Notebook"": 3526518, ""Python"": 1008076, ""JavaScript"": 126821, ""HTML"": 38175, ""OpenEdge ABL"": 14713, ""Shell"": 4808, ""CSS"": 2587, ""Ruby"": 537}",,Python,,true,cdouglas,Chris Douglas,niq,Nick Kew,smarru,Suresh Marru,,mattmann,Chris A. Mattmann,mattmann,Chris A. Mattmann,,,,,,,,,,,,,,,,,,,,,,,,,
Tools and libraries for developing Attribute-based Access Control (ABAC) Systems in a variety of languages.,OpenAz,retired,openaz,Incubator,2015-01-20,2016-08-26,https://github.com/apache/incubator-retired-OpenAz,,"{""Java"": 6894297, ""HTML"": 248858, ""PLpgSQL"": 198552, ""CSS"": 1492}",Java,Java,,,elecharny,Emmanuel Lecharny,coheigea,Colm O Heigeartaigh,hadrian,Hadrian Zbarcea,,pzf,Paul Fremantle,,,,,,,Retired for lack of activity,,,,,,,,,,,,,,,,,,,,
OpenEJB EJB Server and Container,OpenEJB,graduated,openejb,Incubator,2006-07-05,2007-05-16,https://github.com/apache/OpenEJB,,"{""Java"": 7972552, ""HTML"": 157972, ""CSS"": 10624, ""Shell"": 6431, ""Batchfile"": 4538, ""JavaScript"": 2549}",Java,Java,,true,brett,Brett Porter,jvanzyl,Jason van Zyl,bayard,Henri Yandell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenJPA is an open source implementation of the Java Persistence API,OpenJPA,graduated,openjpa,Incubator,2006-04-10,2007-05-16,https://github.com/apache/OpenJPA,,"{""Java"": 24417211, ""HTML"": 105328, ""JavaScript"": 43993, ""CSS"": 20800, ""XSLT"": 16885, ""Python"": 10766, ""Batchfile"": 8516, ""SQLPL"": 4112, ""Groovy"": 862}",Java,Java,,true,geirm,Geir Magnusson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Openmeetings is a web conferencing solution.,Openmeetings,graduated,openmeetings,Incubator,2011-11-12,2013-01-18,https://github.com/apache/Openmeetings,,"{""Java"": 2786853, ""HTML"": 298428, ""JavaScript"": 207627, ""CSS"": 72545, ""Shell"": 5907, ""XSLT"": 5202, ""Batchfile"": 1001}",Java,Java,,true,aadamchik,Andrus Adamchik,jim,Jim Jagielski,aaf,Alexei Fedotov,,,,yegor,Yegor Kozlov,,,,,,,,,,,,,,,,,,,,,,,,,
OpenNLP is a machine learning based toolkit for the processing of natural language text.,OpenNLP,graduated,opennlp,Incubator,2010-11-23,2012-02-15,https://github.com/apache/OpenNLP,,"{""Java"": 4466226, ""HTML"": 9998, ""Batchfile"": 7363, ""Shell"": 5699, ""CSS"": 1740, ""XSLT"": 1163, ""Dockerfile"": 182}",Java,Java,,true,bimargulies,Benson Margulies,gsingers,Grant Ingersoll,isabel,Isabel Drost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OpenOffice.org is comprised of six personal productivity applications: a word processor (and its web-authoring component), spreadsheet, presentation graphics, drawing, equation editor, and database.",OpenOffice.org,graduated,openofficeorg,Incubator,2011-06-13,2012-10-17,https://github.com/apache/openoffice,,"{""C++"": 235924217, ""Java"": 29214671, ""Makefile"": 6850440, ""XSLT"": 6440142, ""PostScript"": 6277491, ""C"": 4473420, ""Perl"": 3075268, ""CSS"": 1600884, ""HTML"": 934660, ""VBA"": 891943, ""C#"": 329777, ""Objective-C++"": 312723, ""Python"": 300028, ""M4"": 268375, ""Shell"": 256096, ""Yacc"": 213027, ""Objective-C"": 183064, ""Raku"": 153090, ""Visual Basic .NET"": 97223, ""Assembly"": 91925, ""JavaScript"": 67829, ""Lex"": 58577, ""Mathematica"": 48994, ""Scilab"": 42548, ""Awk"": 36964, ""Batchfile"": 28793, ""Prolog"": 23959, ""Pascal"": 23159, ""VBScript"": 18567, ""SourcePawn"": 18117, ""BASIC"": 18092, ""FreeBasic"": 15977, ""Roff"": 14884, ""LLVM"": 13074, ""AppleScript"": 12805, ""Classic ASP"": 10331, ""NSIS"": 10074, ""AMPL"": 9399, ""Emacs Lisp"": 5625, ""PHP"": 1779, ""Pawn"": 968, ""sed"": 133 }",C++,C++,,,jim,Jim Jagielski,rubys,Sam Ruby,danese,Danese Cooper,,,,curcuru,Shane Curcuru,OpenOffice,https://openoffice.apache.org/,,ooo,,noirin,Noirin Plunkett,joes,Joe Schaefer,grobmeier,Christian Grobmeier,rgardler,Ross Gardler,,,,,,,,,,,,
JSR-299 Implementation,OpenWebBeans,graduated,openwebbeans,Incubator,2008-10-26,2009-12-17,https://github.com/apache/OpenWebBeans,,"{""Java"": 4528532, ""Shell"": 10260, ""Batchfile"": 4590, ""HTML"": 1236}",Java,Java,,true,kevan,Kevan Miller,matzew,Matthias Wessendorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distributed Serverless computing platform,OpenWhisk,graduated,openwhisk,Incubator,2016-11-23,2019-07-17,https://github.com/apache/OpenWhisk,,"{""Scala"": 4477516, ""JavaScript"": 239825, ""Python"": 118334, ""Shell"": 88007, ""Java"": 36882, ""Groovy"": 21842, ""Jinja"": 18896, ""Dockerfile"": 14939, ""Swift"": 11486, ""HTML"": 6012, ""CSS"": 4339, ""C#"": 1285, ""Ballerina"": 1053, ""Lua"": 821}",Scala,Scala,,true,bdelacretaz,Bertrand Delacretaz,mattsicker,Matt Sicker,ksobkowiak,Krzysztof Sobkowiak,,rubys,Sam Ruby,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PageSpeed represents a series of open source technologies to help make the
            web faster by rewriting web pages to reduce latency and bandwidth.",PageSpeed,current,pagespeed,Incubator,2017-09-30,,https://github.com/apache/incubator-pagespeed-ngx,,"{""C++"": 289515, ""Shell"": 94363, ""Dockerfile"": 31455, ""Makefile"": 1183}",C++,C++,this is a collection of projects. I took the most popular one,,jukka,Jukka Zitting,zwoop,Leif Hedstrom,niq,Nick Kew,2,zwoop,Leif Hedstrom,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parquet is a columnar storage format for Hadoop.,Parquet,graduated,parquet,Incubator,2014-05-20,2015-04-22,,https://svn.apache.org/repos/asf/parquet,,,,,true,jfarrell,Jake Farrell,mattmann,Chris Mattmann,rvs,Roman Shaposhnik,,todd,Todd Lipcon,tomwhite,Tom White,,,,,,,,,,,,,,,,,,,,,,,,,
"PDF library (reading, text extraction, manipulation, viewer)",PDFBox,graduated,pdfbox,Incubator,2008-02-07,2009-10-21,https://github.com/apache/PDFBox,,"{""Java"": 8558751, ""HTML"": 67104}",Java,Java,,true,jukka,Jukka Zitting,jeremias,Jeremias Maerki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pegasus is a distributed key-value storage system which is designed to be simple, horizontally scalable, strongly consistent and high-performance.",Pegasus,current,pegasus,Incubator,2020-06-28,,https://github.com/apache/Pegasus,,"{""C++"": 1865083, ""Shell"": 199273, ""C"": 103978, ""CMake"": 35129, ""Python"": 32941, ""Thrift"": 10454, ""Makefile"": 1473}",C++,C++,,,kmcgrail,Kevin A. McGrail,zhangduo,Duo zhang,chenliang613,Liang Chen,1,vongosling,Von Gosling,vongosling,Von Gosling,,,,,,,,,,,,,,,,,,,,,,,,,
"Phoenix is an open source SQL query engine for Apache HBase, a NoSQL data store. It is accessed as a JDBC driver and enables querying and managing HBase tables using SQL.",Phoenix,graduated,phoenix,Incubator,2013-12-11,2014-05-21,https://github.com/apache/Phoenix,,"{""Java"": 20789660, ""JavaScript"": 217517, ""Python"": 162209, ""Shell"": 153210, ""GAP"": 51331, ""HTML"": 18971, ""Dockerfile"": 6340}",Java,Java,,true,larsh,Lars Hofhansl,apurtell,Andrew Purtell,ddas,Devaraj Das,,stack,Michael Stack,enis,Enis Soztutar,,,,,,stevenn,Steven Noels,,,,,,,,,,,,,,,,,,
"A Photo Gallery application, accessible via the web and written in Java",PhotArk,retired,photark,Incubator,2008-08-19,2012-12-29,https://github.com/apache/PhotArk,,"{""HTML"": 8941, ""Java"": 8132, ""CSS"": 5574}",HTML,Java,,,lresende,Luciano Resende,,,,,,,,,,,,,,Retired due to inactivity.,,,,,,,,,,,,,,,,,,,,
Pig is a platform for analyzing large datasets.,Pig,graduated,pig,Incubator,2007-10-02,2008-10-22,https://github.com/apache/Pig,,"{""Java"": 15405811, ""Perl"": 711560, ""GAP"": 161145, ""PigLatin"": 106403, ""Shell"": 78251, ""Python"": 53833, ""Ruby"": 21893, ""HTML"": 14000, ""Batchfile"": 5964, ""Raku"": 5895, ""XSLT"": 5489, ""JavaScript"": 5033, ""Dockerfile"": 3689, ""Groovy"": 250}",Java,Java,,true,cutting,Doug Cutting,tcurdt,Torsten Curdt,bdelacretaz,Bertrand Delacrétaz,,,,yoavs,Yoav Shapira,,,,,,sylvain,Sylvain Wallez,,,,,,,,,,,,,,,,,,
Pirk is a framework for scalable Private Information Retrieval (PIR).,Pirk,retired,pirk,Incubator,2016-06-17,2017-04-17,https://github.com/apache/incubator-retired-Pirk,,"{""Java"": 792705, ""TeX"": 41938}",Java,HTML,,,billie,Billie Rinaldi,joewitt,Joe Witt,elserj,Josh Elser,,billie,Billie Rinaldi,smarthi,Suneel Marthi,,,,,Retired due to inactivity.,tellison,Tim Ellison,,,,,,,,,,,,,,,,,,
Pinot is a distributed columnar storage engine that can ingest data in real-time and serve analytical queries at low latency.,Pinot,current,pinot,Incubator,2018-10-17,,https://github.com/apache/Pinot,,"{""Java"": 17046572, ""TypeScript"": 424113, ""Scala"": 77784, ""Shell"": 69123, ""HTML"": 15694, ""Smarty"": 15629, ""Dockerfile"": 9788, ""Thrift"": 9489, ""ANTLR"": 5078, ""JavaScript"": 3372, ""CSS"": 2880, ""Python"": 2187, ""NASL"": 1021}",Java,Java,,,kishoreg,Kishore Gopalakrishna,jim,Jim Jagielski,olamy,Olivier Lamy,2,olamy,Olivier Lamy,felixcheung,Felix Cheung,,,,,,,,,,,,,,,,,,,,,,,,True,
A platform for building rich internet applications in Java.,Pivot,graduated,pivot,Incubator,2009-01-26,2009-12-16,https://github.com/apache/Pivot,,"{""Java"": 6004267, ""HTML"": 38756, ""JavaScript"": 15622, ""XSLT"": 13631, ""CSS"": 2607, ""Python"": 1669, ""TSQL"": 1053, ""Batchfile"": 566, ""Shell"": 139}",Java,Java,,true,niclas,Niclas Hedhman,dashorst,Martijn Dashorst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLC4X is a set of libraries for communicating with industrial programmable logic controllers (PLCs) using a variety of protocols but with a shared API.,PLC4X,graduated,plc4x,Incubator,2017-12-18,2019-04-17,https://github.com/apache/PLC4X,,"{""Java"": 4136653, ""Go"": 1048700, ""C"": 986731, ""C++"": 440616, ""Ruby"": 329617, ""CMake"": 52657, ""C#"": 49430, ""Groovy"": 35698, ""XSLT"": 32302, ""Python"": 22429, ""Shell"": 18289, ""ANTLR"": 12703, ""Makefile"": 7456, ""Dockerfile"": 5411, ""HTML"": 3041, ""CSS"": 1909}",Java,Go,,true,gtrasuk,Greg Trasuk,jmclean,Justin Mclean,bodewig,Stefan Bodewig,,jmclean,Justin Mclean,,,,,,,,,,,,,,,,,,,,,,,,,,,
JSR 168 Reference Implementation,Pluto,graduated,pluto,Jakarta,2003-09-30,2004-05-15,https://github.com/apache/Pluto,,{},Java,Java,"manually checked the repo, it is in Java mostly",,rubys,Sam Ruby,,,,,,,,,,,http://portals.apache.org/pluto/,,,,,,,,,,,,,,,,,,,,,,,
"Pony Mail is a mail-archiving, archive viewing, and interaction service, that can be integrated with many email platforms.",Pony Mail,current,ponymail,Incubator,2016-05-27,,https://github.com/apache/PonyMail,,"{""JavaScript"": 506981, ""Lua"": 144388, ""Python"": 142293, ""HTML"": 58968, ""CSS"": 26076, ""Shell"": 5379, ""Dockerfile"": 1130}",JavaScript,JavaScript,,,johndament,John D. Ament,sharan,Sharan Foga,,,1,smarthi,Suneel Marthi,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PredictionIO is an open source Machine Learning Server built on top of state-of-the-art open source stack, that enables developers to manage and deploy production-ready predictive services for various kinds of machine learning tasks.",PredictionIO,graduated,predictionio,Incubator,2016-05-26,2017-10-18,https://github.com/apache/PredictionIO,,"{""Scala"": 1107584, ""Shell"": 137204, ""Python"": 50649, ""HTML"": 13234, ""Dockerfile"": 9915, ""Java"": 8118, ""Smarty"": 3213}",Scala,Scala,,true,apurtell,Andrew Purtell,jtaylor,James Taylor,larsh,Lars Hofhansl,,apurtell,Andrew Purtell,lresende,Luciano Resende,,,,,,meng,Xiangrui Meng,smarthi,Suneel Marthi,,,,,,,,,,,,,,,,
Provisionr provides a service to manage pools of virtual machines on multiple clouds.,Provisionr,retired,provisionr,Incubator,2013-03-07,2013-11-22,https://github.com/apache/incubator-retired-Provisionr,,"{""Java"": 661009, ""HTML"": 9107, ""Shell"": 6161}",Java,Java,,,rvs,Roman Shaposhnik,tomwhite,Tom White,mnour,Mohammad Nour El-Din,,tomwhite,Tom White,,,,,,,Failed to grow a community. Retired at request of PPMC.,,,,,,,,,,,,,,,,,,,,
"Pulsar is a highly scalable, low latency messaging platform running on commodity hardware. It provides simple pub-sub semantics over topics, guaranteed at-least-once delivery of messages, automatic cursor management for subscribers, and cross-datacenter replication.",Pulsar,graduated,pulsar,Incubator,2017-06-01,2018-09-19,https://github.com/apache/Pulsar,,"{""Java"": 24508810, ""C++"": 1727882, ""Python"": 490971, ""Shell"": 205255, ""JavaScript"": 176470, ""C"": 149875, ""Go"": 108604, ""Dockerfile"": 44414, ""HTML"": 36350, ""CMake"": 32685, ""HCL"": 13762, ""CSS"": 10651, ""Roff"": 3484, ""Ruby"": 2524, ""Batchfile"": 2170}",Java,Markdown,,,wave,Dave Fisher,jim,Jim Jagielski,ptgoetz,P. Taylor Goetz,,bcall,Bryan Call,toffer,Francis Liu,,,,,,,,,,,,,,,,,,,,,,,,,
Quickstep is a high-performance database engine.,Quickstep,retired,quickstep,Incubator,2016-03-29,2018-12-01,https://github.com/apache/incubator-retired-Quickstep,,"{""C++"": 9171115, ""CMake"": 659012, ""Python"": 83442, ""Shell"": 9617, ""Ruby"": 5352, ""Dockerfile"": 1803}",C++,C++,,,jhyde,Julian Hyde,rvs,Roman Shaposhnik,,,,rvs,Roman Shaposhnik,,,,,,,Retired for lack of activity,,,,,,,,,,,,,,,,,,,,
Qpid provides multiple language implementations of the Advanced Messaged Queuing Protocol (AMQP),Qpid,graduated,qpid,Incubator,2006-08-27,2008-12-18,https://github.com/apache/Qpid,,"{""Java"": 1066703, ""JavaScript"": 341175, ""Shell"": 79553, ""HTML"": 54232, ""CSS"": 47491, ""XSLT"": 31498, ""M4"": 18570, ""C++"": 17736, ""Makefile"": 5534}",Java,Java,,true,cliffs,Cliff Schmidt,clr,Craig Russell,pzf,Paul Fremantle,,,,sdeboy,Scott Deboy,,,,,,yoavs,Yoav Shapira,,,,,,,,,,,,,,,,,,
"The Ranger project is a framework to enable, monitor and manage comprehensive data security across the Hadoop platform.
            (The podling was originally called Argus)",Ranger,graduated,ranger,Incubator,2014-07-24,2017-01-18,https://github.com/apache/Ranger,,"{""Java"": 11284423, ""JavaScript"": 2563126, ""Python"": 774691, ""TSQL"": 756931, ""Shell"": 415763, ""HTML"": 303729, ""CSS"": 132348, ""PLpgSQL"": 88358, ""Jinja"": 87022, ""PLSQL"": 65083, ""C"": 5370, ""Less"": 2022}",Java,JSON,,true,gates,Alan Gates,humbedooh,Daniel Gruno,ddas,Devaraj Das,,omalley,Owen O'Malley,jghoman,Jakob Homan,,,,argus,,omalley,Owen O'Malley,,,,,,,,,,,,,,,,,,
Comprehension and auditing for distributions and source code,RAT,graduated,rat,Incubator,2008-01-06,2012-04-18,https://github.com/apache/creadur-rat,,"{""Java"": 669207, ""HTML"": 19030, ""Python"": 8362, ""XSLT"": 5567, ""CSS"": 5095, ""C#"": 3005, ""Groovy"": 1985, ""Ruby"": 1616, ""Shell"": 1019}",,Java,,,rgardler,Ross Gardler,hogstrom,Matt Hogstrom,jim,Jim Jagielski,,,,,,,http://creadur.apache.org/rat/,Became part of new Apache Creadur TLP,,,,,,,,,,,,,,,,,,,,,,
Ratis is a java implementation for RAFT consensus protocol,Ratis,graduated,ratis,Incubator,2017-01-03,2021-02-17,https://github.com/apache/Ratis,,"{""Java"": 2973882, ""Shell"": 60166, ""HTML"": 18413, ""Dockerfile"": 5574, ""CSS"": 2844, ""JavaScript"": 911}",Java,Java,,true,umamahesh,Uma Maheswara Rao G,ddas,Devaraj Das,arp,Arpit Agarwal,,jitendra,Jitendra Pandey,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rave is A WEb And SOcial Mashup Engine.,Rave,graduated,rave,Incubator,2011-03-01,2012-03-21,https://github.com/apache/Rave,,"{""Java"": 3712276, ""JavaScript"": 1345141, ""SQLPL"": 175011, ""Ruby"": 58425, ""CSS"": 37728, ""Python"": 5047, ""FreeMarker"": 3460, ""Shell"": 201}",Java,Java,,true,ate,Ate Douma,hadrian,Hadrian Zbarcea,rgardler,Ross Gardler,,,,sylvain,Sylvain Wallez,,,,,,upayavira,Upayavira,,,,,,,,,,,,,,,,,,
JSF Component Library.,RCF,retired,rcf,MyFaces,2007-04-06,2009-09-15,,,,,,"Project Terminated in Sept 2009, as it never got started.",,mvdb,Martin van den Bemt,henning,Henning Schmiedehausen,cziegeler,Carsten Ziegeler,,,,,,,,,,"Never got started, so retired.",,,,,,,,,,,,,,,,,,,,
REEF (Retainable Evaluator Execution Framework) is a scale-out computing fabric that eases the development of Big Data applications on top of resource managers such as Apache YARN and Mesos.,REEF,graduated,reef,Incubator,2014-08-12,2015-11-18,https://github.com/apache/REEF,,"{""Java"": 6674603, ""C#"": 5666898, ""C++"": 187397, ""Shell"": 28410, ""Dockerfile"": 24282, ""Python"": 23859, ""PowerShell"": 12776, ""Scala"": 7052, ""JavaScript"": 4512, ""C"": 3777, ""TeX"": 2443, ""Batchfile"": 2297, ""CSS"": 905}",Java,Java,,true,cdouglas,Chris Douglas,mattmann,Chris Mattmann,rgardler,Ross Gardler,,,,omalley,Owen O'Malley,,,,,,,,,,,,,,,,,,,,,,,,,
"Ripple is a browser based mobile phone emulator designed to aid in the development of HTML5 based mobile applications.  Ripple is a cross platform and cross runtime testing/debugging tool. It currently supports such runtimes as Cordova, WebWorks aand the Mobile Web.",Ripple,retired,ripple,Incubator,2012-10-16,2015-12-06,https://github.com/apache/incubator-retired-Ripple,,"{""JavaScript"": 1609425, ""CSS"": 96511, ""HTML"": 74932}",JavaScript,JavaScript,,,jukka,Jukka Zitting,grobmeier,Christian Grobmeier,asavory,Andrew Savory,,rgardler,Ross Gardler,,,,,,,Retired for lack of activity,,,,,,,,,,,,,,,,,,,,
River : Jini technology,River,graduated,river,Incubator,2006-12-26,2011-01-19,,https://svn.apache.org/repos/asf/river,,,,,true,niclas,Niclas Hedhman,bimargulies,Benson Margulies,jukka,Jukka Zitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RocketMQ is a fast, low latency, reliable, scalable, distributed, easy to use message-oriented middleware, especially for processing large amounts of streaming data.",RocketMQ,graduated,rocketmq,Incubator,2016-11-21,2017-09-20,https://github.com/apache/RocketMQ,,"{""Java"": 5643212, ""Shell"": 40639, ""Python"": 17535, ""Batchfile"": 11451}",Java,Java,,,bsnyder,Bruce Snyder,brianm,Brian McCallister,ningjiang,Willem Ning Jiang,,bsnyder,Bruce Snyder,lukehan,Luke Han,,,,,,jmclean,Justin McLean,jim,Jim Jagielski,,,,,,,,,,,,,,,,
Roller blog server,Roller,graduated,roller,Incubator,2005-06-20,2007-02-21,https://github.com/apache/Roller,,"{""Java"": 3613166, ""CSS"": 69373, ""JavaScript"": 24664, ""XSLT"": 10707, ""Shell"": 8007, ""Python"": 4589, ""FreeMarker"": 3570, ""Dockerfile"": 2973}",Java,Java,,true,rubys,Sam Ruby,bayard,Henri Yandell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rya (pronounced ""ree-uh"" /rēə/) is a cloud-based RDF triple store that supports SPARQL queries. Rya is a scalable RDF data management system built on top of Accumulo. Rya uses novel storage methods, indexing schemes, and query processing techniques that scale to billions of triples across multiple nodes. Rya provides fast and easy access to the data through SPARQL, a conventional query mechanism for RDF data.",Rya,graduated,rya,Incubator,2015-09-18,2019-09-18,https://github.com/apache/Rya,,"{""Java"": 10619977, ""Shell"": 18411, ""XSLT"": 7341, ""Batchfile"": 7242, ""JavaScript"": 1059, ""FreeMarker"": 755}",Java,Java,,true,elserj,Josh Elser,billie,Billie Rinaldi,,,,afuchs,Adam Fuchs,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2Graph is a distributed and scalable OLTP graph database built on Apache HBase to support fast traversal of extremely large graphs.,S2Graph,retired,s2graph,Incubator,2015-11-29,2020-11-29,https://github.com/apache/incubator-S2Graph,,"{""Scala"": 1977095, ""Shell"": 37087, ""Java"": 32850, ""Python"": 8546, ""HTML"": 5578, ""Groovy"": 4776, ""Dockerfile"": 895}",Scala,Scala,,,wikier,Sergio Fernández,woonsan,Woonsan Ko,,,,hyunsik,Hyunsik Choi,,,,,,,The podling was retired by the IPMC due to lack of activiy.,,,,,,,,,,,,,,,,,,,,
"S4 (Simple Scalable Streaming System) is a general-purpose, distributed, scalable, partially fault-tolerant, pluggable platform that allows programmers to easily develop applications for processing continuous, unbounded streams of data.",S4,retired,s4,Incubator,2011-09-26,2014-06-19,https://github.com/apache/incubator-retired-S4,,"{""Java"": 834648, ""HTML"": 22242, ""CSS"": 18633, ""Shell"": 8911, ""Ruby"": 3597}",Java,Java,,,phunt,Patrick Hunt,acmurthy,Arun Murthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAMOA provides a collection of distributed streaming algorithms for the most common data mining and machine learning tasks such as classification, clustering, and regression, as well as programming abstractions to develop new algorithms that run on top of distributed stream processing engines (DSPEs). It features a pluggable architecture that allows it to run on several DSPEs such as Apache Storm, Apache S4, and Apache Samza.",SAMOA,retired,samoa,Incubator,2014-12-15,2021-03-11,https://github.com/apache/incubator-SAMOA,,"{""Java"": 1796367, ""Shell"": 21230}",Java,Java,,,,,,,,,,daijy,Daniel Dai,,,,,,,Retired for lack of activity and inactive PPMC.,,,,,,,,,,,,,,,,,,>,,
"Samza is a stream processing system for running continuous computation on
            infinite streams of data.",Samza,graduated,samza,Incubator,2013-07-30,2015-01-21,https://github.com/apache/Samza,,"{""Java"": 7961011, ""Scala"": 1139914, ""Python"": 87902, ""Shell"": 49279, ""Scaml"": 10376, ""XSLT"": 7116, ""Less"": 3746, ""JavaScript"": 3373, ""HTML"": 3182, ""CSS"": 402}",Java,Java,,true,cdouglas,Chris Douglas,acmurthy,Arun Murthy,rvs,Roman Shaposhnik,,jghoman,Jakob Homan,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Sanselan Project is a pure-java image library for reading and writing a variety of image formats.,Sanselan,graduated,sanselan,Incubator,2007-09-09,2009-06-30,https://github.com/apache/Sanselan,,"{""Java"": 2130540, ""Assembly"": 1486}",Java,Java,,,cziegeler,Carsten Ziegeler,clr,Craig Russell,yoavs,Yoav Shapira,,cziegeler,Carsten Ziegeler,jeremias,Jeremias Maerki,,http://commons.apache.org/sanselan/,,,,,,,,,,,,,,,,,,,,,,,
SDAP is an integrated data analytic center for Big Science problems.,SDAP,current,sdap,Incubator,2017-10-22,,,,,,,this is a collection of projects.,,joern,Jörn Rottmann,rawkintrevo,Trevor Grant,,,2,lewismc,Lewis John McGibbney,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sedona is a big geospatial data processing engine. It provides an easy to use APIs for spatial data scientists to manage, wrangle, and process geospatial data.",Sedona,current,sedona,Incubator,2020-07-19,,https://github.com/apache/incubator-Sedona,,"{""Java"": 1062341, ""Scala"": 528511, ""Python"": 513054, ""Jupyter Notebook"": 166967, ""R"": 111901, ""HTML"": 8790, ""JavaScript"": 5379, ""Shell"": 2394}",Java,CSV,,,felixcheung,Felix Cheung,jbonofre,Jean-Baptiste Onofré,percivall,George Percivall,2,felixcheung,Felix Cheung,vongosling,Von Gosling,,,,,,,,,,,,,,,,,,,,,,,,,
"Sentry is a highly modular system for providing fine grained role
            based authorization to both data and metadata stored on an Apache Hadoop cluster.",Sentry,graduated,sentry,Incubator,2013-08-08,2016-03-16,https://github.com/apache/Sentry,,"{""Java"": 5783029, ""TSQL"": 289343, ""JavaScript"": 92616, ""Thrift"": 35964, ""XSLT"": 25595, ""Shell"": 19176, ""Python"": 12690, ""HTML"": 8678, ""CSS"": 5242, ""FreeMarker"": 2251, ""PLpgSQL"": 1675, ""PLSQL"": 460, ""SQLPL"": 104}",Java,Java,,true,arvind,Arvind Prabhakar,jzb,Joe Brockmeier,ke4qqq,David Nalley,,arvind,Arvind Prabhakar,phunt,Patrick Hunt,,,,,,tomwhite,Thomas White,,,,,,,,,,,,,,,,,,
ServiceComb is a microservice framework that provides a set of tools and components to make development and deployment of cloud applications easier.,ServiceComb,graduated,servicecomb,Incubator,2017-11-22,2018-10-17,https://github.com/apache/servicecomb-java-chassis,,"{""Java"": 8348042, ""HTML"": 9377, ""JavaScript"": 8453, ""CSS"": 5228, ""Shell"": 1814}",,Java,,true,rvs,Roman Shaposhnik,jbonofre,Jean-Baptiste Onofré,tnachen,Timothy Chen,,rvs,Roman Shaposhnik,,,,,,,,,,,,,,,,,,,,,,,,,,,
